First_line,Author,References_or_purpose,TiS,AHB,AoV,All_together_books,NCH,Iona_books,CH4,UMH,VU_MV,StJ_StS,Lutheran_sources,Evangelical_Lutheran_Worship,Alleluia_Aotearoa_Faith_Forever_Singing,StF_FwS,Hymns_for_a_Pilgrim_People_Congregational,Presbyterian_Hymnal,Gather_2nd_Ed,Gather_comprehensive,Gather_Comprehensive_2,Ritual_Song,CP_Canada,CP_England,Column_24,Chalice,Zion_Still_Sings,The_Source,URW,Column_29,StF,Column_31,MP,Comments,Column_39,Column_40
All are welcome friend and stranger,(Peterson / Olson),Matt 5:38-48; Matt 22:1-14; Lk 6:27-38; Lk 7:36-8:3; ,,,,ATFG515,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK. Tune is easy. Words are alright.,,
All around me Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP010,,,
All around the world,,Started out okay…,,,,ATW 446,,,,,,,,,,,,,,,,,,,,,,Srce2-6,,,,,,,,
All beautiful the march of days,(Wile),Creation; seasons; Lk 2:1-20; Winter; ,,,,,NCH434,,,,VU530,,,,,,HPP275,PH292,,,,,CP427,,,,,,,,,,,,,
All children of Zion,(Parry),,,,,,,,,,VU873,,,,,,,,,,,,,,,,,,,,,,,,,
All Christians must love one another,,,,,,,,,,,,,,,,,,,,,,,,,,,,STB213,,,,,,,,
All creation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srce2-7,,,,,,,,
All Creation Sings of the glory of the Lord,(Reid),A bit twee. And masculine.,,,AoV2-045,,,,,,,,,,,,,,,,,,CP355,,,,,,,,,,,,,
All creatures of our God and King,(Assisi),"Ps 65; Ps 104; Ps 145:1-5, 17-21; Ps 148; Eph 4:25-32; 1 Peter 5:6-11;",TiS 100,AHB 3,,,NCH017,,CH147,UMH062,VU217,,LBW527,ELW835,GA395,A&M532,HPP261,PH455 / GtG015,,GC534,GC(II)523,G(3)611,,CP(E) 250,W&R23,Cha022,,Srce2-8,,82Hml-400,StF099,Lau694,MP007,"A good classic sing! Using only Alleluia Alleluia, eliminates the ""Oh praise him"" which makes it annoying male exclusive. Also ""Sing your praises"" can be used instead of ""Oh praise him"". NCH has ""To you, O God, all creatures sing"" and eliminates all kingly language. ELW has ""All creatures worship God most high""",LASST UNS ERFREUEN,
All depends on our possessing,(Nurnburg Gesangbuch),,TiS 556,,,,,,,,,,LBW447,ELW589,,,,,,,,,,,,,,,,,,,,,,
